0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
Ansjos, marineret, konserves;19;0;896;214;6,25;2,144;13,4;13,4;11;11;11;10;0;13;0,796;0;9,6;47;53;390;390;0;14;14;;0,9;0,9;;;;0;0,006;;;0,12;3,42;1,1;0,175;;;16;13;3,5;0;0;;;3606;165;145;18,3;210;1,8;0,16;3,4;30;0,1;2;20;0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;0;;;;;;;;;;;;0,1;0,77;0,09;2;;0,27;;;;;;;0,8;;;2;;;;0,49;;0,9;;;;;0,25;;;;;;;;;;0,31;0,93;;1,1;;;3,23;4,19;2,59;10,01;2,03;0,56;0;90;708;1051;1072;407;43;579;493;557;139;793;708;300;772;1265;1501;793;536;165
Appelsin, rå;20;30;216;52;6,25;0,151;0,9;0,9;11,5;9,5;9,5;0;2;0,6;0,8;0;0,4;13,5;86,5;4;0;48;0;0;;0,55;0,55;;;;0;0,086;;;0,032;0,4;0,3;0,082;0,18;0,89;46,2;13;0;60,8;52,5;8,3;;2;153;35,4;10,4;22,1;0,138;0,07;0,068;0,3;0,042;0,2;0,05;0;;3,18;0,03;0,04;0,02;0,445;;;;;;;;;2;;;0,3;;;;;;0,003;2,2;;2,5;4,7;;;3,5;3,5;;;8,2;;;;;;0;;0,4;;;;;;;;;;;;;0,101;;0,017;;;;;;;0,017;;;0,11;;;;;;;;;;;0,168;;;0,067;;;;;;;;;;;;;0,118;0,127;0,235;0,48;0,067;0,168;0;0;18;30;38;5;3;21;13;18;6;30;80;13;26;109;59;21;130;14
Appelsinjuice, konserves;21;0;181;43;6,25;0,094;0,6;0,6;9,9;9,7;9,7;0;0,2;0,1;0,8;0;0,4;11;89;2,42;0;29;0;0;;0,1;0,1;;;;;0,06;;;0,028;0,347;0,314;0,049;0,15;0,89;16;;0;39,4;34,4;5;;15;168;17,1;10;21,6;0,18;0,038;0,061;0,4;0,014;0,4;0,042;0;;0,6;0;0,5;0,1;0,3;;;;;;;;;;;0,14;0;;;;;;;2,8;;3,4;6,2;;;2,2;2,2;;;8,4;;;;;;0;;;;;;0,1;;0;0;0;0;0;0;;0,027;;0;;;;;;;0,006;;;0,032;;;;0;;0;;;;;0,041;;;0,011;;0;;;;;0;0;0;0;;;0,027;0,038;0,052;0,117;0,011;0,041;0;0;6;11;8;3;4;7;3;7;2;9;39;3;13;63;28;8;37;
Appelsinmarmelade;22;0;858;205;6,25;0,08;0,5;0,5;49,7;49;49;44;0,7;0,3;0,8;0;2,5;53;47;4,17;0;50;0;0;;0,3;0,3;;;0;;0;;;0,03;0,15;0,1;0,02;0;0;5;5;0;3;3;;;18;44;20;4;13;0,5;0,12;0,027;0,5;0,021;3;0,3;;;10;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;16;20;3;2;11;7;10;3;16;42;7;14;58;31;11;69;186
Artiskok, rå;23;70;218;52;6,25;0,523;3,3;3,3;10,5;8,1;8,1;;2,4;0,2;0,8;0;1,1;15,1;84,9;0,667;0;8;0;0;;0,35;0,35;;;;;0,089;;;0,06;1,05;1,05;0,097;0,295;;;;0;11,7;11,7;;;27;404;60;35,6;72,3;1,1;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;24
Asier, syltede;24;35;311;74;6,25;0,08;0,5;0,5;17;16,5;16,5;16;0,5;0,5;0,8;0;3,1;21,1;78,9;0,583;0;7;0;0;;0,1;0,1;;;;;0,01;;;0,02;0,04;0,04;0,01;0,1;0,4;8;5;0;4;4;;;291;99;15,3;6,5;14,8;0,55;0,057;0,18;1;0,085;1,7;0,3;0;;0,6;0,05;0,1;3,6;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;838
Asparges, grønne, rå;25;34;109;26;6,25;0,288;1,8;1,8;4,9;3,1;3,1;0;1,8;0,3;0,8;0;0,5;7,5;92,5;0;0;;0;0;;;;;;;;;;;;0,233;;0,148;;;150;;0;10;10;;;3,7;267;22,8;12,2;85,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,067;;0,002;;;;;;;0,002;;;0,005;;;;;;;;;;;0,151;;;0,013;;;;;;;;;;;;;0,069;0,007;0,164;0,24;0,013;0,151;0;0;52;84;75;21;6;49;40;46;14;84;69;32;127;167;383;60;115;51
Asparges, hvide, rå;26;33;109;26;6,25;0,384;2,4;2,4;4,3;2,5;2,5;0;1,8;0,3;0,8;0;0,6;7,6;92,4;0;0;;0;;;;;;;;;;;;;0,317;;0,072;;;150;;0;18;18;;;7,7;169;16,6;7,3;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,067;;0,002;;;;;;;0,002;;;0,005;;;;;;;;;;;0,151;;;0,013;;;;;;;;;;;;;0,069;0,007;0,164;0,24;0,013;0,151;0;0;69;111;100;28;8;65;54;61;19;111;92;42;169;223;511;81;154;
Asparges, konserves;27;39;68;16;6,25;0,256;1,6;1,6;3;1,5;1,5;;1,5;0,1;0,8;0;0,9;5,6;94,4;41,1;0;493;0;0;;0,25;0,25;;;;;0,03;;;0,04;0,517;0,3;0,11;0,07;0,2;48;59;0;18,4;18,4;;;288;111;15,5;7;27;0,35;0,055;0,44;0,7;0,14;4;0,2;;;4,9;0,2;0;0,2;4;;;;;;;;;;;;;;;;;;0,003;0,67;;0,32;0,99;0;0;0,18;0,18;;;1,17;;;;;;0;0,19;0,23;0,21;0,75;0,1;;;;;;;;;;0,022;;0,001;;;;;;;0,001;;;0,002;;;;;;;;;;;0,05;;;0,004;;;;;;;;;;;;;0,023;0,003;0,054;0,08;0,004;0,05;0;0;46;74;67;18;6;44;36;41;13;74;61;28;113;148;340;54;102;32
Asparges, uspec., rå;28;47;95;23;6,25;0,308;1,9;1,9;4;2,2;2,2;0;1,8;0,3;0,8;0;0,5;6,7;93,3;2,67;0;32;0;0;;0,3;0,3;;;;39;0,11;;;0,09;1,25;1;0,06;0,07;0,2;150;58;0;12;12;;;6,4;202;20;8,9;52;0,5;0,055;0,44;0,15;;;1;;;18;;;;;;;;;;;;;;;0,01;;;;;;;0,003;0,67;;0,32;0,99;0;0;0,18;0,18;;;1,17;;;;;;0;0,19;0,23;0,21;0,75;0,1;;;;;;;;;;0,06;;0,002;;;;;;;0,002;;;0,004;;;;;;;;;;;0,134;;;0,012;;;;;;;;;;;;;0,062;0,006;0,146;0,214;0,012;0,134;0;0;55;89;80;22;7;52;43;49;15;89;74;34;136;179;410;65;123;40
Aubergine, rå;29;11;83;20;6,25;0,151;0,9;0,9;5;2,6;2,6;0;2,4;0,1;0,8;0;0,5;6,5;93,5;0;0;0;0;0;;0,03;0,03;;;;;0,05;;;0,03;0,933;0,8;0,08;0,22;;27;8;0;2;2;;;3;240;8,4;10;30,3;0,4;0,08;0,16;;0,25;0,7;0,2;;;0,395;1;0,16;0,69;0,35;;;;;;;;;;;3,4;0,3;;;;;;0,02;1,4;;1,4;2,8;;;0,1;0,1;;;2,9;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;42;60;44;10;6;41;26;35;8;50;53;21;47;151;166;38;41;189
Avocado, rå;30;29;711;170;6,25;0,304;1,9;1,9;14,2;9;9;0;5,2;13,1;0,956;0;2,8;32;68;1,33;0;16;0;0;;1,3;1,3;;;;8;0,1;;;0,18;1,45;1,1;0,36;1,1;3,6;93;31;0;6;6;;;6;450;12,1;25;46,5;0,4;0,19;0,64;;0,142;0,7;0,8;;;59,7;1;0,16;0,39;0,967;;;;;;;;;;;0,01;2,3;;;;;;0,1;0,2;;0,1;0,3;0;0;0,1;0,1;;;0,4;;;;;;0,05;;;;;;;;0;0;0;0;0;0;;3,248;0;0,109;0,01;0;0;;0;;1,358;;;5,298;0;;;0,018;;0;0;;0;;2,274;;;0,177;;0;0;;0;0;;0;0;0;;0;3,367;6,674;2,451;12,492;0,177;2,274;0;0;64;103;94;30;;67;43;55;21;88;64;33;116;429;234;76;73;192
Babymajs, rå;31;0;154;37;6,25;0,375;2,3;2,3;6,8;4,6;4,6;;2,3;0,5;;0;0,6;10,3;89,7;1,38;;16,5;;;;;;;;;;0,086;;;;;;0,159;;;130;;;8,82;8,82;;;0,875;212;17,5;27,2;;0,375;;0,638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,18;;1,5;2,68;;;0,24;0,24;;;2,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198
Bacon i skiver, rå;32;0;1075;257;6,25;2,544;15,9;15,9;0,8;0,8;0,8;0;0;21,4;0,9;0;3,7;41,7;58,3;3,5;3,5;0;0,545;0;0,109;0,44;0,44;;;;0;0,7;;;0,142;8,23;5,4;0,24;0,71;4,8;1,3;;0,68;8,3;8,3;;1910;1225;283;5,91;17,6;167;0,52;0,096;1,68;;0;1,4;8,3;;;0,8;0;0;0,3;3;;;;;;;;;;;1,49;0,33;;0,3;0,1;0,1;;;0;;0;0;0;0;0;0;;;0;;;;;;0;;;;;;;;;;;0;0;0,28;;4,7;;2,55;0;0;0;;0;;0,54;;;8,6;;0;;0,157;;;;;;;1,93;;;0,178;;;;;;;0;;;0;;0,33;7,53;9,297;2,108;19,265;0,178;1,93;0;63;789;1297;1399;483;104;585;534;712;170;789;992;509;992;1374;2366;763;585;740
Bacon, kogestykke, rå;33;16;1569;375;6,25;2,4;15;15;1,1;1,1;1,1;0;0;35;0,91;0;4,4;55,5;44,5;0;0;0;0,885;0,25;0,127;0,3;0,3;;;;0;0,48;;;0,175;5,68;3;0,15;0,4;1;2;1;0,65;0,8;0,8;;;1140;185;5,27;15;202;0,4;0,063;1,98;0,8;0,012;2;8;0;;0,8;;;;;;;;;;;;;;;1,49;0,33;;0,3;0,1;0,1;0,17;;0;;0;0;0;0;0;0;;;0;;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0,515;0;8,807;0;4,59;0;0;;;0;0;1,12;;0;14,124;;;;0,192;;0;;;;;2,31;;;0,192;;;;;0;;0;0;0;0;;;13,912;15,436;2,502;31,85;0,192;2,31;0;75;744;1224;1320;456;98;552;504;672;161;744;936;480;936;1296;2232;720;552;983
Bacon, stegestykke, rå;34;13;1775;424;6,25;2,08;13;13;0;0;0;0;0;42;0,93;0;4,4;59,4;40,6;0;0;0;0,969;0,289;0,136;0,3;0,3;;;;0;0,48;;;0,16;5,32;3;0,15;0,4;1;2;1;0,65;0,8;0,8;;;1140;185;5,07;15;220;0,51;0,063;1,98;0,7;0,012;2;8,3;0;;0,8;0;0;0,3;3;;;;;;;;;;;1,49;0,33;;0,3;0,1;0,1;;;0;;0;0;0;0;0;0;;;0;;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0,627;0;10,814;0;5,649;0;0;;;0;0;1,385;;0;17,281;;;;0,232;;0;;;;;2,84;;;0,232;;;;;0;;0;0;0;0;;;17,09;18,898;3,072;39,06;0,232;2,84;0;76;645;1061;1144;395;85;478;437;582;139;645;811;416;811;1123;1934;624;478;20
Bagegær, presset, rå;35;0;479;114;6,25;1,344;8,4;8,4;18,9;12,7;12,7;0;6,2;1,9;0,8;0;1,8;31;69;0;0;0;0;0;;0,2;0,2;;;;0;0,47;;;1,4;9,25;7,5;1,1;3,5;60;1000;140;0;0,1;0,1;;;16;610;15;31;340;1,6;0,16;4,5;0,6;0,31;0;1;0;;10;0;0;1;0;;;;;;;;;9,5;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;0;0;0;0,014;0;;0,202;;0,07;;;;;;;0,653;;;0,576;;;;0;;0;;;;;0,005;;;0;;0;;;;;0;0;0;0;;;0,286;1,229;0,005;1,52;0;0,005;0;0;430;578;645;118;30;323;282;430;105;538;444;175;511;833;1116;417;282;43
Bagepulver;36;0;731;175;6,25;0,832;5,2;5,2;37,8;37,8;37,8;0;0;0;0;0;50,7;93,7;6,3;0;0;0;0;0;;0;0;;;0;0;0;;;0;1;0;0;0;0;0;0;0;0;0;;;11800;49;11300;9;8430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;37,8;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;0;0;;;;0;;0;;;;;0;;;0;;;;;0;;0;0;0;0;;;0;0;0;0;0;0;0;0;;;;;;;;;60;;;;;;;;;62
Baked beans i tomatsovs, konserves;37;0;371;89;6,25;0,816;5,1;5,1;20,8;12,5;12,5;;6,6;0,5;0,76;0;1,7;26,4;73,6;0;0;0;0;0;;0,6;0,6;;;;;0,07;;;0,05;1,32;0,5;0,12;;;29;4;0;0;0;;;480;300;45;31;91;1,4;0,21;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;4,64;;;;;;;;0;0;0;0;0;0;0;0,076;0;0,008;0;0;;;0;0;0;;0;0,048;;;;0;;0;;;;;0,098;;;0,15;;;;;;;0;0;0;0;;;0,084;0,048;0,248;0,38;0,15;0,098;0;;212;392;367;57;41;269;131;212;49;237;302;147;212;620;751;204;180;27
Bambusskud, konserves, saltet;38;0;106;25;6,25;0,416;2,6;2,6;3,7;3,2;3,2;0;0,5;0,1;0,8;0;0,2;6,6;93,4;0;0;0;0;0;;;;;;;;0,01;;;0,04;0,1;0,1;;;;;;0;0;0;;;600;85;24;;31;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
Bambusskud, konserves, usaltet;39;0;106;25;6,25;0,416;2,6;2,6;3,7;3,2;3,2;0;0,5;0,1;0,8;0;0,2;6,6;93,4;0;0;0;0;0;;;;;;;;0,01;;;0,04;0,1;0,1;;;;;;0;0;0;;;3;85;24;;31;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;196
Bambusskud, rå;40;30;173;41;6,25;0,576;3,6;3,6;6,7;6;6;0;0,7;0,1;0,8;0;1;11,4;88,6;0,667;0;8;0;0;;;;;;;;0,04;;;0,12;0,5;0,5;;;;;;0;11;11;;;0;500;18;;50;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;51
Banan, rå;41;39;400;96;6,25;0,208;1,3;1,3;22,3;20,7;20,7;0;1,6;0,4;0,73;0;0,8;24,8;75,2;4,42;0;53;0;0;;0,55;0,55;;;;;0,041;0,039;0,002;0,024;0,9;0,7;0,299;0,26;5,5;38;12;0;14,3;11;3,3;;2;353;4,4;27,7;27,3;0,24;0,11;0,176;0,4;0,24;0,17;1,04;;;4,01;0,2;0,23;0,035;0,351;;;;;;;;;0,03;;0,01;0,21;;;;;;1,5;3,8;;5,8;9,6;;;6,3;6,3;;;15,9;;;;;;2,7;0,58;0,23;0,28;0,37;0,27;;;0;0;0;0;0;0;;0,126;0;0,022;0;0;0;;0;;0,022;;;0,057;0;;;0;;0;0;;0;;0,044;;;0;;0;0;;0;0;;0;0;0;;0;0,148;0,079;0,044;0,271;0;0,044;0;0;40;102;58;12;4;40;23;37;12;60;56;96;40;133;121;42;44;75
Batat, sød kartoffel, rå;42;28;302;72;6,25;0,209;1,3;1,3;17,2;14,5;14,5;0;2,7;0,3;0,658;0;1,1;19,9;80,1;373;0;4470;0;0;;;;;;;;0,065;;;0,061;0,824;0,557;0,178;0,8;;11;;0;19,3;19,3;;;33,2;408;44,5;15;47;0,938;0,151;0,202;;0,258;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,775;;0,9;1,68;;;2,5;2,5;;;4,18;;;;;;;;;;;;0,85;2,1;0;0;0;0;0;0;0;0,059;0;0,006;0;0;0;;0;0;0;;0;0,011;;;;0;;0;;;;;0,113;;;0,02;;0;0;;0;;0;0;0;0;;;0,065;0,011;0,133;0,209;0,02;0,113;0;0;67;98;67;33;11;82;56;67;16;88;63;25;73;230;132;61;59;868
Bayonneskinke, udbenet;43;0;804;192;6,25;3,328;20,8;20,8;0,4;0,4;0,4;;0;12;0,915;0;4,6;37,8;62,2;0;0;0;0,606;0,121;0,097;0,1;0,1;;;;0;0,75;;;0,23;7,52;3,8;0,436;0,6;2,6;1,5;;0,65;0;0;;;1457;231;7;25;188;0,95;0,075;1,9;1;0,014;5,3;6,9;0;;2,5;0,13;2;1,9;5,6;;;;;;;;;;;1,1;1,1;;0,45;0,13;0,13;1,45;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;0,182;0;3,023;0;1,537;;;;;;;0,384;;0;4,893;;;;0,081;;;;;;;0,809;;;0,071;;;;;0;;0;0;0;;;;4,742;5,358;0,88;10,98;0,071;0,809;0;67;998;1531;1864;532;140;765;699;865;223;1098;1231;765;1231;1864;2829;1032;799;54
Birkes, frø;44;0;2273;543;6,25;2,886;18;18;23,7;13,7;13,7;;10;44,7;0,94;0;6,8;93,2;6,8;0;0;0;;;;0,5;0,5;;;;;0,849;;;0,173;5,21;0,976;0,55;;;;;0;;;;;21;700;1448;331;849;9,39;;10,2;;;75,2;;;;167;;;17,4;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,26;;0;0;0;0;0;0;;4,11;;0,67;;;;;;;0,13;;;6,18;;;;0,04;;0;;;;;30,5;;;0,33;;0;;;;;0;0;0;0;;;4,78;6,35;30,83;41,96;0,33;30,5;0;0;895;1472;1097;462;462;895;693;895;254;1299;1991;519;1183;2193;4531;1126;1068;496
Bitter, Gammel Dansk Bitter Dram;45;0;885;211;6,25;0;0;0;0;0;0;0,5;0;0;0,8;30,5;1;31;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,022;0,035;;;;;;;;;;0,16;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;735
Bitter, jägermeister;46;0;1224;293;6,25;0;0;0;14;14;14;14;0;0;0,8;34;2;50;50;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0,022;0,035;;;;;;;;;;0,16;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;79
Bitter, krabask bitter;47;0;945;226;6,25;0;0;0;1;1;1;1;0;0;0,8;32;0,5;33,5;66,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,022;0,035;;;;;;;;;;0,16;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;101
Bitter, sød, uspec.;48;0;1106;264;6,25;0;0;0;18;18;18;18;0;0;0,8;27,6;0,5;46,1;53,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,022;0,035;;;;;;;;;;0,16;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
Bitter, uspec.;49;0;873;209;6,25;0;0;0;0,2;0,2;0,2;0,2;0;0;0,8;30;0,5;30,7;69,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,022;0,035;;;;;;;;;;0,16;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;26
Bladbede, sølvbede, rå;50;8;87;21;6,25;0,288;1,8;1,8;3,7;2,1;2,1;0;1,6;0,2;0,7;0;1,6;7,3;92,7;167;0;2000;0;0;;;;;;;;0,04;;;0,09;0,683;0,4;0,099;0,172;;14;;0;30;30;;;213;379;51;81;46;1,8;0,179;0,36;;0,366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;147;130;98;19;;109;;84;17;109;118;35;;;;;;0
Bladselleri, rå;51;43;91;22;6,25;0,119;0,7;0,7;5,1;3,5;3,5;0;1,6;0,2;0,8;0;1,1;7,1;92,9;1,42;0;17;0;0;;0,2;0,2;;;;;0,035;;;0,075;0,583;0,45;0,09;0,4;0,1;28;6;0;9;9;;;62;318;56,7;8;30,1;0,4;0,11;0,1;1,1;;1,6;0,046;;;1,75;0,07;0,7;1,58;0,9;;;;;;;;;;;;;;;;;;;0,4;;0,5;0,9;;;0,3;0,3;;;1,2;;;;;;0,1;;;;;;;;0;0;0;0;0;0,001;;0,032;;0,003;;;;;;;0,001;;;0,027;;;;0;;0;0;;;;0,07;;;0;;0;;;;;0;0;0;0;;;0,036;0,028;0,07;0,134;0;0,07;0;0;29;51;15;13;4;33;10;25;8;36;30;11;25;131;98;23;19;24
Blodpølse, kogt;52;0;1298;310;6,25;1,712;10,7;10,7;23,1;18,1;18,1;0;5;20,8;0,92;0;1,8;56,3;43,7;6;6;0;1;1;;0,15;0,15;;;;;0,075;;;0,035;2,68;1,2;0,045;0,6;2;5;2;0,32;0;0;;620;438;192;65;20;84;16,2;0,14;0,6;2,7;6,8;1;14;;;1;0,2;;0,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,51;;5,057;;2,716;;;;0,146;;;;;;;;;;;;;;;;9,386;1,207;;;0,114;;;;;;;;;;;;;8,429;9,386;1,321;19,136;0,114;1,207;0;68;257;873;805;128;80;548;188;291;89;702;565;394;736;907;1318;993;890;238
Blomkål, dansk, rå;53;8;99;24;6,25;0,32;2;2;4,3;1,9;1,9;0;2,4;0,4;0,8;0;0,7;7,4;92,6;3,33;0;40;0;0;;0,2;0,2;;;;16;0,058;0,058;;0,073;0,983;0,6;0,145;0,6;1,5;165;32;0;62;62;;;17;286;24,5;13,2;48,1;0,402;0,042;0,261;0,8;0,23;1,2;0,683;;;1,11;0,1;0,1;0,557;0,692;;;;;;;;;1,5;;;;;;;;;0,01;1,31;;0,51;1,82;0;0;0,06;0,06;;;1,88;;;;;;0,01;0,39;0,54;0,5;1,12;0,01;;;;;;;;;;0,062;;0,006;;;;;;;;;;0,024;;;;;;;;;;;0,027;;;0,168;;;;;;;;;;;;;0,068;0,024;0,195;0,287;0,168;0,027;0;0;70;106;96;25;12;67;42;67;23;115;77;35;150;163;221;70;86;55
